T(K),a,da/dT
304.4,0,0
304.65,0.00001217502,0.00004870007999
304.9,0.00003936011319,0.0001087403728
305.4,0.00008730560467,0.00009589098297
307.65,0.0001647457199,0.00003441782899
310.65,0.00028329004,0.00003951477336
315.9,0.0004573608929,0.00003315635294
322.65,0.000702444633,0.00003630870224
332.9,0.00103429205,0.00003237535777
345.15,0.001466414406,0.00003527529432
581.4,0.002009203749,0.000002297521031
587.4,0.002667072127,0.0001096447296
593.65,0.003438868934,0.0001234874891
600.15,0.004319243615,0.0001354422587
605.65,0.00530289984,0.0001788465864
611.9,0.006389611573,0.0001738738772
629.9,0.007592441229,0.00006682386979
636.65,0.008946566501,0.0002006111514
642.15,0.01051666516,0.0002854724838
671.4,0.01240269621,0.00006447969407
676.4,0.01474464941,0.0004683906384
681.9,0.01772183591,0.0005413066379
687.65,0.02154930922,0.000665647531
692.65,0.02647033864,0.0009842058848
703.9,0.03274642263,0.0005578741324
708.65,0.04064417226,0.001662684133
715.15,0.05042118548,0.001504155879
725.4,0.06231093946,0.001159975998
730.9,0.07650531174,0.002580794959
736.4,0.09314014909,0.003024515882
741.15,0.1122792291,0.004029280005
746.65,0.1339019543,0.00393140458
751.9,0.1578933566,0.004569790919
756.9,0.1840395513,0.00522923893
762.4,0.2120303197,0.005089230629
767.9,0.2414692372,0.005352530444
772.65,0.2718910835,0.006404599215
777.65,0.3027868244,0.006179148197
782.9,0.3336331151,0.005875483938
787.15,0.3639219254,0.007126778892
793.4,0.3931901259,0.004682912073
798.4,0.4210431483,0.005570604482
802.65,0.4471708987,0.006147705985
806.9,0.4713569546,0.005690836692
811.65,0.4934788997,0.0046572516
815.4,0.5135031406,0.005339797558
819.9,0.5314741208,0.003993551159
824.4,0.5475016333,0.003561669448
832.9,0.5617464063,0.00167585565
837.15,0.5744055768,0.002978628351
841.4,0.5856985793,0.002657177044
846.15,0.5958535866,0.002137896284
850.65,0.6050966631,0.002054016984
855.15,0.6136416924,0.00189889542
859.65,0.6216828631,0.001786926817
863.65,0.6293893827,0.001926629895
867.4,0.636904251,0.00200396487
871.9,0.6443420749,0.001652849774
875.9,0.6517892825,0.001861801896
879.65,0.6593048138,0.002004141671
883.9,0.66692118,0.001792086177
891.4,0.6746427016,0.001029536206
895.4,0.6824493189,0.001951654319
899.4,0.6903002684,0.001962737386
907.4,0.6981403957,0.0009800159161
911.4,0.7059102252,0.001942457373
914.65,0.7135558344,0.002352495137
918.15,0.721039581,0.002138213315
922.15,0.7283473751,0.001826948521
925.4,0.7354920432,0.002198359421
929.15,0.7425091593,0.001871230964
932.9,0.7494509482,0.001851143683
936.15,0.7563750101,0.002130480607
939.9,0.7633344901,0.00185586132
943.4,0.7703689489,0.002009845365
949.9,0.7774987764,0.001096896547
956.9,0.7847246139,0.001032262492
963.65,0.7920299985,0.001082279204
966.65,0.7993878314,0.002452610966
972.9,0.8067656473,0.00118045055
975.65,0.8141324687,0.002678844129
978.9,0.8214622423,0.002255314945
982.15,0.8287353932,0.002237892604
984.9,0.8359386121,0.002619352318
987.9,0.8430611423,0.002374176746
990.9,0.850093195,0.002344017559
993.65,0.8570237938,0.002520217762
1000.4,0.8638417844,0.001010072681
1002.9,0.870537549,0.002678305839
1011.4,0.8771064073,0.0007728068588
1014.65,0.8835533614,0.001983678168
1017.4,0.8898940904,0.002305719655
1020.15,0.8961553269,0.002276813264
1022.9,0.9023708221,0.002260180077
1025.9,0.908574087,0.002067754968
1028.65,0.914792492,0.00226123817
1034.4,0.9210412477,0.001086740128
1039.65,0.9273213787,0.001196215416
1041.9,0.9336230072,0.002800723802
1050.15,0.939932468,0.0007647831216
1052.9,0.946241431,0.002294168365
1055.4,0.9525548771,0.002525378438
1057.65,0.9588966335,0.002818558409
1060.4,0.9653073093,0.002331154831
1063.15,0.9718389428,0.002375139463
1065.4,0.9785442419,0.002980132924
1067.65,0.9854642337,0.003075551905
1072.4,0.9926188792,0.001506241158
1074.9,1,0.00295244833
