T(K),a,da/dT
300.407,0,0
300.519,0.0000007374155289,0.000006552666494
300.632,0.000002620097984,0.00001670897975
301.084,0.000006470063648,0.000008516124161
301.538,0.00001403614901,0.00001665500219
302.683,0.00002833998995,0.00001248907156
304.427,0.00005435156511,0.0000149190877
307.642,0.0001001862334,0.00001425805889
313.213,0.0001774709164,0.00001387158617
319.044,0.0003029111063,0.00002151210524
326.929,0.0004989348418,0.00002486044469
335.945,0.0007939351462,0.00003271917934
344.489,0.001221950565,0.00005009847777
354.337,0.001820202904,0.00006074956287
382.327,0.002626598352,0.00002880981946
391.192,0.003675838371,0.0001183505485
429.728,0.004994218643,0.00003421191193
437.737,0.006595964722,0.0002000015981
443.659,0.008480473038,0.0003182178709
456.657,0.01063080071,0.0001654356315
461.916,0.01301582477,0.0004535443669
468.022,0.01559408957,0.0004222033981
474.168,0.01831945615,0.0004434308136
490.523,0.02114802049,0.0001729531993
495.535,0.02404244463,0.0005774912831
506.244,0.02697772462,0.0002740969737
516.386,0.02994207064,0.0002922773723
521.902,0.03293726943,0.0005430446333
527.218,0.03597541005,0.0005715151978
532.544,0.03907893442,0.0005826331207
537.880,0.04227534031,0.0005990223378
542.369,0.04559809681,0.0007402986735
547.718,0.04908711398,0.0006522316574
552.644,0.05279408922,0.0007525335982
557.145,0.05678816406,0.0008874755507
562.290,0.06116455729,0.0008505127348
567.437,0.06605497459,0.0009502092625
571.726,0.071632547,0.001300501753
577.085,0.07811739684,0.001209944086
582.442,0.08577350624,0.001429243445
596.559,0.09490215617,0.0006466351676
601.467,0.1058258106,0.002225884326
606.366,0.118868676,0.002662095422
611.256,0.1343313478,0.003161939689
615.288,0.1524655308,0.00449756211
619.947,0.1734474598,0.004503572307
628.809,0.1973555168,0.002697810121
633.642,0.2241538045,0.0055448626
638.251,0.2536801306,0.006407259667
642.218,0.2856458197,0.008056696019
647.005,0.3196430507,0.007102443548
651.773,0.3551614967,0.007449496468
655.903,0.3916136396,0.008826540127
660.632,0.4283660243,0.007770554995
665.748,0.4647759286,0.007116997206
669.618,0.5002277635,0.009161271487
674.482,0.5341676062,0.006977233097
678.917,0.5661348939,0.007208441156
682.527,0.5957840818,0.008212204264
686.121,0.6228993407,0.007545464272
692.861,0.6473987923,0.003634870426
696.599,0.6693260703,0.005865709521
700.512,0.6888326518,0.004986172897
703.818,0.7061517558,0.005238123913
707.299,0.7215662569,0.00442777764
711.143,0.7353761659,0.003592664898
714.390,0.7478668472,0.003847133709
717.806,0.7592880286,0.003342868508
724.759,0.7698399082,0.001517742532
734.544,0.7796717255,0.001004765048
737.637,0.7888854901,0.002978570104
740.888,0.7975513259,0.002666027194
743.755,0.805719583,0.0028486462
746.779,0.8134338927,0.002551355433
749.778,0.8207401741,0.002435878045
752.404,0.8276919179,0.00264714248
755.357,0.8343499442,0.002254891829
758.284,0.8407780534,0.002195986575
761.186,0.8470417834,0.002158974661
764.060,0.8532031869,0.002143219342
769.068,0.8593189754,0.001221353008
771.703,0.8654396443,0.002322385864
774.314,0.8716114663,0.002364141994
776.577,0.8778758655,0.002767529325
778.981,0.8842690106,0.002660006668
781.519,0.8908201761,0.002580750297
783.719,0.8975484678,0.00305895302
786.208,0.9044584402,0.002776535353
788.363,0.9115366406,0.003283936214
790.346,0.9187519548,0.003639239153
792.911,0.9260555354,0.002847377302
796.772,0.9333851401,0.001898201153
800.701,0.9406735961,0.001854849022
802.564,0.9478537935,0.003855829931
804.547,0.954863,0.003533844794
806.368,0.9616436873,0.00372326825
807.894,0.9681397828,0.004258820106
813.051,0.9742911718,0.001192807036
814.906,0.9800254955,0.003090660501
816.867,0.9852552528,0.002667165331
818.287,0.9898759237,0.003254190259
819.818,0.9937711331,0.002543456912
821.456,0.9968233036,0.00186306291
822.949,0.9989264644,0.001408838671
827.076,1,0.0002601183188
