"T(K),a,da/dT"
"304.4,0.0,0.0"
"304.65,6.570592391e-07,2.628236956e-06"
"304.9,2.335412935e-06,6.713414785e-06"
"305.9,5.765719352e-06,3.430306416e-06"
"306.9,1.250853053e-05,6.742811174e-06"
"309.4,2.525614867e-05,5.099047259e-06"
"313.15,4.843641593e-05,6.181404601e-06"
"319.9,8.928197959e-05,6.051194617e-06"
"331.15,0.0001581550461,6.122050353e-06"
"342.4,0.000269941735,9.936594573e-06"
"356.9,0.0004446290936,1.204740404e-05"
"372.65,0.0007075204626,1.669151549e-05"
"386.9,0.001088948503,2.676688002e-05"
"402.65,0.001622084764,3.384992132e-05"
"444.4,0.00234070912,1.721255944e-05"
"456.9,0.00327574559,7.480291757e-05"
"508.4,0.004450628572,2.281326179e-05"
"518.65,0.005878034285,0.0001392590939"
"526.15,0.007557425956,0.0002239188895"
"542.4,0.00947370305,0.0001179247442"
"548.9,0.01159913183,0.0003269890434"
"556.4,0.0138967674,0.0003063514092"
"563.9,0.01632549541,0.0003238304006"
"583.65,0.01884618764,0.0001276299866"
"589.65,0.02142557138,0.0004298972904"
"602.4,0.02404136387,0.0002051601951"
"614.4,0.02668305798,0.0002201411762"
"620.9,0.02935224771,0.0004106445734"
"627.15,0.03205970541,0.0004331932311"
"633.4,0.03482543056,0.0004425160245"
"639.65,0.03767392611,0.0004557592888"
"644.9,0.04063502162,0.0005640181912"
"651.15,0.04374427986,0.0004974813181"
"656.9,0.04704777344,0.0005745206235"
"662.15,0.05060711724,0.0006779702479"
"668.15,0.05450716732,0.0006500083463"
"674.15,0.05886529202,0.0007263541161"
"679.15,0.06383577978,0.0009940975533"
"685.4,0.06961479256,0.0009246420448"
"691.65,0.07643758141,0.001091646215"
"708.15,0.08457263341,0.0004930334547"
"713.9,0.09430731422,0.001692987967"
"719.65,0.1059305429,0.00202143107"
"725.4,0.1197101969,0.002396461574"
"730.15,0.1358705837,0.00340218669"
"735.65,0.1545687568,0.003399667835"
"746.15,0.1758745675,0.002029124828"
"751.9,0.1997560243,0.004153296843"
"757.4,0.2260685889,0.004784102652"
"762.15,0.2545550066,0.00599714056"
"767.9,0.2848518457,0.005269015507"
"773.65,0.3165043246,0.005504778925"
"778.65,0.3489888725,0.006496909586"
"784.4,0.3817409838,0.00569601935"
"790.65,0.4141878907,0.005191505111"
"795.4,0.4457810084,0.006651182674"
"801.4,0.4760267056,0.00504094954"
"806.9,0.5045145483,0.00517960776"
"811.4,0.5309366021,0.005871567501"
"815.9,0.5551005297,0.005369761693"
"824.4,0.5769333642,0.002568568766"
"829.15,0.596473991,0.004113816164"
"834.15,0.6138573997,0.003476681752"
"838.4,0.6292914241,0.003631535144"
"842.9,0.6430281511,0.003052605998"
"847.9,0.6553349343,0.002461356631"
"852.15,0.6664660817,0.002619093518"
"856.65,0.6766441365,0.002261789957"
"865.9,0.6860475084,0.001016580744"
"879.15,0.6948091915,0.0006612591045"
"883.4,0.7030200934,0.001931976898"
"887.9,0.7107427058,0.001716136089"
"891.9,0.7180218979,0.001819798042"
"896.15,0.7248965522,0.001617565705"
"900.4,0.7314075887,0.001532008593"
"904.15,0.737602678,0.001652023805"
"908.4,0.7435360179,0.001396079986"
"912.65,0.7492644664,0.001347870237"
"916.9,0.7548464279,0.001313402707"
"921.15,0.7603371998,0.001291946338"
"928.65,0.7657873223,0.0007266829929"
"932.65,0.7712417933,0.001363617748"
"936.65,0.7767418495,0.001375014066"
"940.15,0.7823244075,0.001595016573"
"943.9,0.7880216976,0.001519277358"
"947.9,0.7938598078,0.001459527544"
"951.4,0.7998560671,0.001713216951"
"955.4,0.8060151909,0.001539780936"
"958.9,0.8123259648,0.001803078254"
"962.15,0.818762421,0.001980448079"
"966.4,0.8252839978,0.001534488657"
"972.9,0.8318418802,0.001008904985"
"979.65,0.8383855632,0.0009694345155"
"982.9,0.8448715886,0.00199570012"
"986.4,0.8512695675,0.001827993974"
"989.65,0.8575653997,0.001937179141"
"992.4,0.8637623236,0.002253426879"
"1001.9,0.869877952,0.0006437503541"
"1005.4,0.8759394583,0.001731858931"
"1009.15,0.8819792032,0.001610598647"
"1011.9,0.8880298972,0.002200252381"
"1014.9,0.8941221622,0.002030754996"
"1018.15,0.9002832858,0.001895730344"
"1021.15,0.9065355527,0.002084088968"
"1029.65,0.9128967584,0.0007483771356"
"1035.4,0.9193769332,0.001126986932"
"1038.15,0.9259781292,0.002400434883"
"1044.9,0.932691813,0.0009946198218"
"1047.4,0.9394975244,0.00272228456"
"1050.15,0.9463636085,0.00249675786"
"1053.15,0.953249389,0.002295260162"
"1055.4,0.9601126409,0.003050334205"
"1058.15,0.9669157414,0.002473854703"
"1061.15,0.9736350612,0.002239773275"
"1063.65,0.9802686357,0.00265342979"
"1068.9,0.9868393126,0.001251557506"
"1071.4,0.9933946098,0.002622118888"
"1073.9,1.0,0.002642156082"
