T(K),a,da/dT
303.9,0,0
304.15,910.565.921,3.642.263.684
317.65,2.708.641.525,1.331.907.855
365.9,5.363.484.533,5.502.265.301
420.65,8.870.886.429,6.406.213.509
433.65,1.327.322.709,338.641.589
446.15,1.869.514.425,4.337.533.729
477.65,2.535.211.672,2.113.324.595
486.15,335.389.721,9.631.594.559
495.65,4.361.352.865,1.060.479.637
504.65,5.594.981.192,1.370.698.141
512.4,7.089.773.283,1.928.763.988
520.65,8.873.782.759,2.162.435.729
528.9,1.096.447.486,2.534.172.237
536.4,1.336.623.962,3.202.353.015
543.9,1.606.921.261,3.603.963.985
557.15,190.493.198,2.249.137.502
564.15,2.226.962.863,4.600.441.191
570.9,2.568.254.006,505.616.508
576.65,2.923.119.788,6.171.578.816
583.4,3.285.475.903,5.368.238.749
589.65,3.649.097.989,5.817.953.372
595.4,4.008.193.899,6.245.146.255
601.4,4.357.865.393,5.827.858.245
607.4,4.694.742.314,5.614.615.334
612.65,5.017.518.784,6.148.123.241
629.65,5.327.449.025,1.823.119.068
636.4,5.629.016.482,4.467.666.023
642.4,593.022.135,5.020.081.146
647.65,6.242.932.064,5.956.394.539
653.65,6.583.071.196,5.668.985.538
659.65,6.970.274.268,6.453.384.533
664.4,7.427.632.976,9.628.604.372
681.15,7.980.705.851,3.301.927.612
686.9,8.656.316.734,117.497.545
692.4,9.481.277.292,1.499.928.287
697.65,1.048.088.819,1.904.020.764
703.15,1.167.742.308,2.175.517.972
709.15,1.308.900.739,2.352.640.524
713.9,1.472.854.158,3.451.650.923
719.65,1.660.279.362,325.956.876
724.9,1.871.181.644,4.017.186.334
729.9,2.104.846.131,4.673.289.742
735.4,235.978.854,4.635.316.518
740.9,2.633.743.664,4.981.002.255
745.65,2.923.681.002,6.103.943.951
750.9,3.225.872.787,5.756.034
756.4,3.536.013.127,5.638.915.277
761.4,3.849.403.902,6.267.815.506
766.4,4.161.184.751,6.235.616.975
771.9,4.466.596.829,5.552.946.872
776.9,4.761.250.011,589.306.364
782.9,5.041.360.208,4.668.503.291
788.65,5.303.926.771,4.566.375.008
793.4,5.546.861.717,5.114.419.909
798.9,5.769.022.399,4.039.285.124
803.9,5.970.185.471,4.023.261.438
808.15,615.094.214,4.253.098.093
813.15,6.312.554.642,323.225.004
817.9,6.456.780.797,3.036.340.121
822.15,6.585.689.551,3.033.147.148
826.9,6.701.462.169,2.437.318.273
831.65,680.624.298,2.205.911.797
835.4,6.902.012.056,2.553.842.043
840.15,6.990.500.014,1.862.904.378
845.15,7.073.144.277,1.652.885.265
849.15,7.151.093.747,194.873.675
863.4,7.225.246.518,520.370.318
867.9,7.296.292.679,1.578.803.575
872.65,736.478.174,144.187.498
876.15,7.431.162.538,1.896.594.215
880.65,7.495.832.627,1.437.113.087
884.9,7.559.167.828,1.490.240.044
888.9,7.621.520.904,1.558.826.897
893.4,7.683.243.933,1.371.622.858
897.9,7.744.688.782,1.365.441.096
901.65,7.806.195.172,1.640.170.392
905.9,7.868.102.991,1.456.654.568
914.4,7.930.755.831,7.370.922.353
918.65,7.994.503.147,1.499.936.854
922.65,8.059.704.588,1.630.036.005
933.9,8.126.735.861,5.958.335.394
937.65,819.595.896,1.845.949.305
941.65,8.267.689.706,1.793.268.668
945.4,8.342.140.406,1.985.351.993
948.65,841.935.457,2.375.820.422
955.9,8.499.129.283,1.100.340.874
959.15,8.580.984.035,2.518.607.742
962.9,8.664.162.477,2.218.091.778
966.4,8.747.685.764,2.386.379.639
979.65,8.830.473.791,6.248.152.963
983.15,8.911.485.875,2.314.630.979
992.9,8.989.875.448,8.039.956.219
1005.65,9.065.116.853,5.901.286.622
1008.65,9.137.071.351,2.398.483.297
1011.65,9.205.967.654,2.296.543.422
1014.9,9.272.327.484,2.041.840.917
1017.65,9.336.824.976,2.345.363.366
1020.65,9.400.146.368,2.110.713.063
1023.9,9.462.846.659,19.292.397
1026.65,9.525.272.572,2.270.033.198
1029.65,9.587.531.677,207.530.353
1032.65,9.649.521.845,2.066.338.927
1038.65,9.710.995.442,1.024.559.941
1055.4,9.771.631.193,3.620.044.844
1058.15,9.831.107.359,2.162.769.662
1065.65,9.889.138.919,7.737.541.375
1068.65,9.945.498.943,1.878.667.466
1074.15,1,9.909.283.115
