T(K),a,da/dT
300.2942,0,0
300.4066,0.0003784672604,0.003367193777
300.5191,0.001126227276,0.006644587494
300.6318,0.002226130237,0.009761739823
300.9707,0.003654160601,0.004214308135
301.3108,0.005381468162,0.005078924579
301.8803,0.007376938117,0.003503459269
468.2265,0.00960872605,0.00001341653048
473.9628,0.0120447578,0.0004246646826
479.7314,0.01465364843,0.0004522604332
485.3225,0.01740396251,0.0004919091761
491.1483,0.02026393642,0.0004909149784
495.9534,0.02319962523,0.000610953704
501.6151,0.0261762951,0.0005257568573
507.2976,0.02915831719,0.0005247701346
511.9419,0.0321109488,0.0006357481558
517.4456,0.03500312057,0.0005254992013
522.7514,0.03780928325,0.0005288906709
527.4304,0.04051271874,0.0005777748969
532.5443,0.04310925131,0.0005077451662
537.6667,0.04560808575,0.0004878215151
542.3687,0.04803619269,0.0005163985443
547.2899,0.05044160447,0.0004887860834
552.4298,0.05289643713,0.0004776030568
557.1445,0.05550180086,0.0005525997893
562.0757,0.05839158307,0.0005860243921
567.0079,0.06173476229,0.0006778264662
571.5112,0.06573701759,0.0008887462199
576.4422,0.07063785808,0.0009938798235
581.3709,0.0767051634,0.001231005877
585.8681,0.08422764012,0.001672705112
590.7893,0.09350364267,0.00188490844
599.7606,0.1048279191,0.001262283855
604.4500,0.1184753447,0.002910245606
609.5566,0.1346846764,0.003174217471
613.5916,0.1536385559,0.004697298751
618.4661,0.1754454362,0.004473643681
623.7508,0.2001199641,0.004669059859
627.7568,0.2275661594,0.006851375383
632.1731,0.2575674732,0.006793328885
636.7860,0.2897839174,0.006983962956
640.7579,0.3237590251,0.008553933533
645.3421,0.3589406307,0.007674521426
649.4949,0.3947112337,0.008613444263
653.4266,0.4304265296,0.00908400883
657.5502,0.4654580069,0.008495375578
661.8626,0.4992325769,0.00783195598
665.5441,0.5312656421,0.008700996822
669.6180,0.5611821473,0.007343513992
673.6735,0.5887269029,0.006791899832
677.1058,0.6137626573,0.007294326921
681.5262,0.6362574084,0.005088759997
688.7057,0.6562683896,0.002787271046
695.6177,0.6739232813,0.002554237557
698.9495,0.6894013527,0.004645479865
702.4586,0.7029173651,0.003851751573
705.9478,0.7147084645,0.003379321952
709.0322,0.7250234052,0.003344246617
712.4823,0.7341136973,0.002634732927
715.9111,0.7422255892,0.002365858305
722.3271,0.7495927722,0.001148243009
725.6908,0.7564305958,0.002032822943
728.6610,0.7629275918,0.002187399352
731.9797,0.7692399567,0.001902044359
735.0915,0.7754873829,0.002007675726
737.8186,0.7817499797,0.002296441544
743.9337,0.7880698528,0.00103347825
746.6016,0.794457444,0.002394242065
752.5788,0.8009010997,0.001078046935
754.8379,0.8073794539,0.002867681185
757.7696,0.8138744921,0.002215420493
760.5053,0.8203820437,0.002378789102
763.0488,0.8269189844,0.002570035882
765.9063,0.8335242404,0.00231155283
768.5709,0.8402537839,0.002525542453
770.5533,0.8471711308,0.003489350788
772.8485,0.8543365213,0.003121879754
774.9626,0.8617937831,0.003527418789
780.8872,0.8695602716,0.001310895393
782.7787,0.877622802,0.004262438097
784.8110,0.8859363651,0.004090740264
790.8006,0.8944283464,0.001417794672
792.9107,0.9030095368,0.004066759315
794.5535,0.9115836796,0.005219184656
796.6249,0.9200593114,0.004091718819
798.5286,0.9283589563,0.004359634426
799.9800,0.9364249971,0.005557512928
801.8497,0.9442202614,0.004169344326
803.8413,0.951723431,0.003767386921
805.2498,0.9589206306,0.005109635538
807.0633,0.9657935516,0.003789917708
808.8566,0.9723084271,0.003632821553
810.3582,0.9784074658,0.004061806094
812.1138,0.9840026666,0.003187023249
813.9813,0.9889783093,0.002664354297
815.6937,0.9931988403,0.002464762427
818.9270,0.996523514,0.00102824442
820.3245,0.9988234707,0.001645746845
827.3143,1,0.0001683210813
